Station|Coordinates|Create_Timestamp|City|Conditions|Conditions_Description|Temperature|Min_Temperature|Max_Temperature|Pressure|Humidity|Wind_Speed|Wind_Degrees|Source_Date_Time|City_Id|Update_Timestamp|Record_Delete_Flag
ISA|-20.73,139.5|2017-12-10T14:59:49Z|Mount Isa|Clear|clear sky|+39.0|+39.0|+39.0|1012.0|12|4.1|330.0|1512874800|2065594|1900-01-01T00:00:00Z|0
TGN|-38.18,146.53|2017-12-10T18:57:36Z|Traralgon|Clear|clear sky|+17.81|+17.81|+17.81|1017.8|64|1.98|236.5|1512892393|2146108|1900-01-01T00:00:00Z|0
NOA|-34.88,150.6|2017-12-10T14:59:49Z|Nowra|Clear|clear sky|+25.0|+25.0|+25.0|1019.0|53|7.7|60.0|1512874800|2154787|1900-01-01T00:00:00Z|0
FOT|-32.17,152.52|2017-12-11T03:58:43Z|Forster|Clear|clear sky|+15.0|+15.0|+15.0|1019.0|93|1.0|290.0|1512921600|2166309|1900-01-01T00:00:00Z|0
MBH|-25.53,152.7|2017-12-10T19:35:44Z|Maryborough|Clouds|few clouds|+23.48|+23.48|+23.48|1010.66|62|2.58|126.5|1512894828|2158562|1900-01-01T00:00:00Z|0
ABX|-36.08,146.92|2017-12-10T14:59:49Z|Albury|Clear|clear sky|+28.0|+28.0|+28.0|1019.0|34|2.6|240.0|1512874800|2178174|1900-01-01T00:00:00Z|0
CES|-32.83,151.35|2017-12-11T00:35:54Z|Cessnock|Clear|clear sky|+19.0|+19.0|+19.0|1020.0|77|2.1|60.0|1512910800|2171845|1900-01-01T00:00:00Z|0
ARM|-30.52,151.65|2017-12-11T04:10:51Z|Armidale|Clear|clear sky|+6.16|+6.16|+6.16|928.48|89|0.87|123.0|1512925818|2177671|1900-01-01T00:00:00Z|0
TSV|-19.25,146.8|2017-12-10T18:57:36Z|Townsville|Clear|clear sky|+30.0|+30.0|+30.0|1011.0|55|9.3|60.0|1512889200|2146142|1900-01-01T00:00:00Z|0
PQQ|-31.43,152.92|2017-12-11T00:35:54Z|Port Macquarie|Clouds|few clouds|+16.0|+16.0|+16.0|1021.0|87|0.87|155.0|1512910800|2152659|1900-01-01T00:00:00Z|0
